./logs/33789148_command_29880.log:command id: command_29880, hostname: nid001833, cpu (hw thread id): 56
./logs/33789148_command_29872.log:command id: command_29872, hostname: nid001833, cpu (hw thread id): 48
./logs/33789148_command_29864.log:command id: command_29864, hostname: nid001833, cpu (hw thread id): 38
./logs/33789148_command_29856.log:command id: command_29856, hostname: nid001833, cpu (hw thread id): 32
./logs/33789148_command_29848.log:command id: command_29848, hostname: nid001833, cpu (hw thread id): 23
./logs/33789148_command_29840.log:command id: command_29840, hostname: nid001833, cpu (hw thread id): 14
./logs/33789148_command_29832.log:command id: command_29832, hostname: nid001833, cpu (hw thread id): 6
./logs/33789148_command_29824.log:command id: command_29824, hostname: nid001833, cpu (hw thread id): 2
./logs/33789148_command_29900.log:command id: command_29900, hostname: nid001833, cpu (hw thread id): 71
./logs/33789147_command_29816.log:command id: command_29816, hostname: nid001772, cpu (hw thread id): 105
./logs/33789147_command_29808.log:command id: command_29808, hostname: nid001772, cpu (hw thread id): 125
./logs/33789148_command_29892.log:command id: command_29892, hostname: nid001833, cpu (hw thread id): 66
./logs/33789148_command_29884.log:command id: command_29884, hostname: nid001833, cpu (hw thread id): 59
./logs/33789147_command_29800.log:command id: command_29800, hostname: nid001772, cpu (hw thread id): 115
./logs/33789147_command_29792.log:command id: command_29792, hostname: nid001772, cpu (hw thread id): 87
./logs/33789147_command_29784.log:command id: command_29784, hostname: nid001772, cpu (hw thread id): 0
./logs/33789147_command_29776.log:command id: command_29776, hostname: nid001772, cpu (hw thread id): 20
./logs/33789147_command_29768.log:command id: command_29768, hostname: nid001772, cpu (hw thread id): 18
./logs/33789147_command_29760.log:command id: command_29760, hostname: nid001772, cpu (hw thread id): 7
./logs/33789147_command_29752.log:command id: command_29752, hostname: nid001772, cpu (hw thread id): 124
./logs/33789148_command_29876.log:command id: command_29876, hostname: nid001833, cpu (hw thread id): 52
./logs/33789148_command_29868.log:command id: command_29868, hostname: nid001833, cpu (hw thread id): 45
./logs/33789148_command_29860.log:command id: command_29860, hostname: nid001833, cpu (hw thread id): 36
./logs/33789147_command_29744.log:command id: command_29744, hostname: nid001772, cpu (hw thread id): 84
./logs/33789147_command_29736.log:command id: command_29736, hostname: nid001772, cpu (hw thread id): 14
./logs/33789147_command_29728.log:command id: command_29728, hostname: nid001772, cpu (hw thread id): 51
./logs/33789147_command_29720.log:command id: command_29720, hostname: nid001772, cpu (hw thread id): 88
./logs/33789147_command_29712.log:command id: command_29712, hostname: nid001772, cpu (hw thread id): 13
./logs/33789147_command_29704.log:command id: command_29704, hostname: nid001772, cpu (hw thread id): 40
./logs/33789147_command_29696.log:command id: command_29696, hostname: nid001772, cpu (hw thread id): 116
./logs/33789148_command_29852.log:command id: command_29852, hostname: nid001833, cpu (hw thread id): 28
./logs/33789148_command_29844.log:command id: command_29844, hostname: nid001833, cpu (hw thread id): 20
./logs/33789148_command_29836.log:command id: command_29836, hostname: nid001833, cpu (hw thread id): 15
./logs/33789148_command_29828.log:command id: command_29828, hostname: nid001833, cpu (hw thread id): 1
./logs/33789147_command_29820.log:command id: command_29820, hostname: nid001772, cpu (hw thread id): 83
./logs/33789148_command_29873.log:command id: command_29873, hostname: nid001833, cpu (hw thread id): 49
./logs/33789148_command_29865.log:command id: command_29865, hostname: nid001833, cpu (hw thread id): 41
./logs/33789148_command_29857.log:command id: command_29857, hostname: nid001833, cpu (hw thread id): 33
./logs/33789148_command_29849.log:command id: command_29849, hostname: nid001833, cpu (hw thread id): 25
./logs/33789148_command_29841.log:command id: command_29841, hostname: nid001833, cpu (hw thread id): 16
./logs/33789148_command_29833.log:command id: command_29833, hostname: nid001833, cpu (hw thread id): 9
./logs/33789148_command_29825.log:command id: command_29825, hostname: nid001833, cpu (hw thread id): 0
./logs/33789147_command_29710.log:command id: command_29710, hostname: nid001772, cpu (hw thread id): 58
./logs/33789147_command_29702.log:command id: command_29702, hostname: nid001772, cpu (hw thread id): 60
./logs/33789147_command_29817.log:command id: command_29817, hostname: nid001772, cpu (hw thread id): 120
./logs/33789147_command_29809.log:command id: command_29809, hostname: nid001772, cpu (hw thread id): 126
./logs/33789147_command_29801.log:command id: command_29801, hostname: nid001772, cpu (hw thread id): 48
./logs/33789147_command_29793.log:command id: command_29793, hostname: nid001772, cpu (hw thread id): 6
./logs/33789147_command_29785.log:command id: command_29785, hostname: nid001772, cpu (hw thread id): 56
./logs/33789147_command_29777.log:command id: command_29777, hostname: nid001772, cpu (hw thread id): 3
./logs/33789147_command_29769.log:command id: command_29769, hostname: nid001772, cpu (hw thread id): 108
./logs/33789147_command_29761.log:command id: command_29761, hostname: nid001772, cpu (hw thread id): 75
./logs/33789147_command_29753.log:command id: command_29753, hostname: nid001772, cpu (hw thread id): 70
./logs/33789147_command_29745.log:command id: command_29745, hostname: nid001772, cpu (hw thread id): 95
./logs/33789147_command_29737.log:command id: command_29737, hostname: nid001772, cpu (hw thread id): 91
./logs/33789147_command_29729.log:command id: command_29729, hostname: nid001772, cpu (hw thread id): 37
./logs/33789147_command_29721.log:command id: command_29721, hostname: nid001772, cpu (hw thread id): 111
./logs/33789147_command_29713.log:command id: command_29713, hostname: nid001772, cpu (hw thread id): 72
./logs/33789147_command_29705.log:command id: command_29705, hostname: nid001772, cpu (hw thread id): 100
./logs/33789146_command_29694.log:command id: command_29694, hostname: nid001357, cpu (hw thread id): 124
./logs/33789146_command_29686.log:command id: command_29686, hostname: nid001357, cpu (hw thread id): 113
./logs/33789146_command_29678.log:command id: command_29678, hostname: nid001357, cpu (hw thread id): 108
./logs/33789146_command_29670.log:command id: command_29670, hostname: nid001357, cpu (hw thread id): 103
./logs/33789146_command_29662.log:command id: command_29662, hostname: nid001357, cpu (hw thread id): 90
